qid	file_id
1	1
2	2
3	4
4	8
5	9
6	10
7	12
8	13
9	15
10	18
11	22
12	23
13	26
14	27
15	29
16	31
17	32
18	33
19	34
20	35
21	39
22	40
23	41
24	49
25	50
26	51
27	52
28	53
29	54
30	55
31	56
32	57
33	58
34	59
35	61
36	62
37	66
38	67
39	68
40	69
41	71
42	72
43	74
44	79
45	80
46	81
47	82
48	83
49	84
50	85
51	86
52	87
53	93
54	94
55	95
56	97
57	98
58	99
59	100
60	101
61	102
62	103
63	104
64	105
65	106
66	107
67	108
68	109
69	110
70	111
71	112
72	113
73	114
74	116
75	118
76	119
77	120
78	121
79	122
80	123
81	126
82	128
83	130
84	131
85	132
86	133
87	135
88	136
89	137
90	138
91	139
92	140
93	141
94	142
95	143
96	145
97	146
98	147
99	148
100	149
101	150
102	152
103	153
104	154
105	155
106	156
107	157
108	158
109	160
110	161
111	163
112	164
113	165
114	167
115	168
116	169
117	170
118	171
119	173
120	175
121	176
122	177
123	181
124	182
125	183
126	184
127	187
128	189
129	190
130	196
131	200
132	201
133	202
134	203
135	204
136	205
137	206
138	208
139	209
140	210
141	211
142	212
143	213
144	214
145	215
146	216
147	217
148	218
149	219
150	223
151	224
152	225
153	226
154	227
155	230
156	231
157	232
158	233
159	234
160	241
161	245
162	246
163	247
164	250
165	251
166	252
167	253
168	254
169	255
170	257
171	259
172	261
173	264
174	265
175	266
176	267
177	268
178	269
179	272
180	273
181	274
182	275
183	277
184	283
185	284
186	285
187	288
188	291
189	292
190	293
191	294
192	295
193	296
194	297
195	298
196	299
197	300
198	301
199	303
200	304
201	306
202	314
203	315
204	316
205	317
206	321
207	323
208	327
209	331
210	332
211	333
212	335
213	336
214	338
215	339
216	340
217	347
218	348
219	349
220	352
221	353
222	355
223	356
224	360
225	365
